q_group_key,hkl,branch,table,row,point_type,source,selection_origin,detector_display_x,detector_display_y,detector_native_x,detector_native_y,caked_2theta,caked_phi,residual_2theta,residual_phi_wrapped,residual_norm
"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,1256.0654146040026,430.03750140307756,430.03750140307756,1742.9345853959974,57.6193973696333,9.75,,,
"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,manual_saved_caked,entry_caked_deg,caked,1211.4590524740797,434.577504771753,434.577504771753,1787.5409475259203,57.6942711427288,11.731077251970873,,,
"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,1211.4590524740797,434.577504771753,434.577504771753,1787.5409475259203,57.69129302333556,11.75,,,
"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,fit_observed,background/manual,caked,1211.1032070954675,434.7902971722106,434.577504771753,1787.5409475259203,57.69129302333556,11.75,,,
"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,sim_saved_caked,entry_visual_caked,caked,1218.192307648577,455.6711928835675,455.6711928835676,1780.807692351423,57.20744956292302,11.617708356651946,,,
"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2543.3288071164325,1218.192307648577,455.6711928835676,1780.807692351423,57.19774575263818,11.75,,,
"('q_group', 'primary', 1, 16)","(-1, 0, 16)",0,222,75,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,2543.3288071164325,1218.192307648577,455.6711928835676,1780.807692351423,57.19774575263818,11.75,-0.493547270697384,0.0,0.493547270697384
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,1096.2950461792134,1370.2794474533787,1370.2794474533787,1902.7049538207866,29.350943814553005,57.65656768325309,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,1096.2950461792134,1370.2794474533787,1370.2794474533787,1902.7049538207866,29.349185815045292,57.74806331996294,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,manual_saved_caked,entry_caked_deg,caked,1099.447999893417,1367.267889372774,1367.267889372774,1899.552000106583,29.29165538323298,57.079371399827465,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,1099.447999893417,1367.267889372774,1367.267889372774,1899.552000106583,29.29161614738359,57.18141608120496,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,fit_observed,background/manual,caked,1099.0406145327788,1367.8974415510181,1367.267889372774,1899.552000106583,29.29161614738359,57.18141608120496,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,sim_saved_caked,entry_visual_caked,caked,1093.649087249921,1372.2942558698576,1372.2942558698576,1905.350912750079,29.419171965030486,58.078123650228775,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1626.7057441301424,1093.649087249921,1372.2942558698576,1905.350912750079,29.419307610634707,58.180643067872694,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",0,111,11,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1626.7057441301424,1093.649087249921,1372.2942558698576,1905.350912750079,29.419307610634707,58.180643067872694,0.1276914632511179,0.9992269866677361,1.007352808440169
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,1818.2459441348426,1382.0582677070388,1382.0582677070388,1180.7540558651574,29.45639441108159,-59.676230604601386,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,1818.2459441348426,1382.0582677070388,1382.0582677070388,1180.7540558651574,29.453992572527092,-59.75,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,manual_saved_caked,entry_caked_deg,caked,1821.9937221600449,1374.6237260643284,1374.6237260643284,1177.0062778399551,29.861006834273667,-59.073952446488136,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,1821.9937221600449,1374.6237260643284,1374.6237260643284,1177.0062778399551,29.862404174117902,-59.16048751370546,,,
"('q_group', 'primary', 1, 5)","(-1, 0, 5)",1,111,172,fit_observed,background/manual,caked,1822.3490818580196,1375.1670978111897,1374.6237260643284,1177.0062778399551,29.862404174117902,-59.16048751370546,,,
