H,K,r,A_HT,A_num,ratio
-4,-3,0.6349080329153227,4.243321197325586,4.243503148055668,1.0000428793206124
-4,-2,0.6048671907885687,3.6250811575656647,3.6248890948216004,0.9999470183602197
-4,0,0.6288207202150918,4.1093822961581985,4.109280770739968,0.999975294238668
-4,1,0.6774639438966767,5.329921040391167,5.330258774338727,1.000063365656827
-4,3,0.8058340180430458,11.63643878095638,11.637651104628652,1.0001041833927968
-4,4,0.8690661789857874,19.391394666288875,19.389079958640064,0.9998806322243116
-3,-4,0.6048671907885687,3.6250811575656647,3.62511796787256,1.000010154340081
-3,-2,0.6288207202150918,4.1093822961581985,4.109214269335882,0.9999591114162162
-3,-1,0.6774639438966767,5.329921040391167,5.329581842305451,0.9999363596415133
-3,1,0.8058340180430458,11.63643878095638,11.63674709746131,1.0000264957785396
-3,2,0.8690661789857874,19.391394666288875,19.394022839424792,1.000135532960942
-3,4,0.9651341479030899,85.42062529365316,85.3878680331724,0.9996165181375323
-2,-4,0.6288207202150918,4.1093822961581985,4.109457017250903,1.0000181830473096
-2,-3,0.6774639438966767,5.329921040391167,5.329969275145729,1.000009049806591
-2,-1,0.8058340180430458,11.63643878095638,11.63663933394156,1.0000172349108654
-2,0,0.8690661789857874,19.391394666288875,19.394646418733394,1.000167690488512
-2,2,0.9651341479030899,85.42062529365316,85.44020139339793,1.0002291729857686
-2,3,0.9911539854234136,350.43674155606834,349.57907281654326,0.9975525718687009
-1,-3,0.8058340180430458,11.63643878095638,11.636958366664498,1.000044651608443
-1,-2,0.8690661789857874,19.391394666288875,19.39209373253417,1.0000360503335282
-1,0,0.9651341479030899,85.42062529365316,85.43296435927378,1.0001444506590558
-1,1,0.9911539854234136,350.43674155606834,351.0247829696332,1.001678024430183
-1,3,0.9911539854234136,350.43674155606834,350.5474581411007,1.00031593886115
-1,4,0.9651341479030899,85.42062529365316,85.42314221348038,1.0000294650129118
0,-4,0.8690661789857874,19.391394666288875,19.387880850568752,0.9998187951005798
0,-2,0.9651341479030899,85.42062529365316,85.41693121837058,0.9999567542935927
0,-1,0.9911539854234136,350.43674155606834,351.30796260249394,1.0024861007511856
0,1,0.9911539854234136,350.43674155606834,350.85949876143223,1.0012063723783262
0,2,0.9651341479030899,85.42062529365316,85.43485675399126,1.0001666044973234
0,4,0.8690661789857874,19.391394666288875,19.391786433994177,1.000020203173214
1,-4,0.9651341479030899,85.42062529365316,85.35683944381867,0.9992532734381748
1,-3,0.9911539854234136,350.43674155606834,350.63438332647155,1.000563987010967
1,-1,0.9911539854234136,350.43674155606834,350.8137066229944,1.0010757007534432
1,0,0.9651341479030899,85.42062529365316,85.44407073170765,1.000274470456917
1,2,0.8690661789857874,19.391394666288875,19.392111226987367,1.000036952509648
1,3,0.8058340180430458,11.63643878095638,11.635670640934894,0.9999339883931891
2,-3,0.9911539854234136,350.43674155606834,350.04992178048565,0.9988961780266958
2,-2,0.9651341479030899,85.42062529365316,85.48713074294818,1.0007785642995048
2,0,0.8690661789857874,19.391394666288875,19.39153881683596,1.0000074337379836
2,1,0.8058340180430458,11.63643878095638,11.636264315384576,0.9999850069617442
2,3,0.6774639438966767,5.329921040391167,5.329692220663263,0.9999570688334461
2,4,0.6288207202150918,4.1093822961581985,4.109412266635728,1.0000072931831037
3,-4,0.9651341479030899,85.42062529365316,85.43014093738662,1.000111397495637
3,-2,0.8690661789857874,19.391394666288875,19.392164843840966,1.000039717491462
3,-1,0.8058340180430458,11.63643878095638,11.63763592992519,1.0001028793251394
3,1,0.6774639438966767,5.329921040391167,5.329688296403477,0.9999563325636671
3,2,0.6288207202150918,4.1093822961581985,4.109227948315768,0.9999624401354493
3,4,0.6048671907885687,3.6250811575656647,3.6250352866295046,0.9999873462319417
4,-4,0.8690661789857874,19.391394666288875,19.39139433667113,0.9999999830018547
4,-3,0.8058340180430458,11.63643878095638,11.636622940788321,1.0000158261333563
4,-1,0.6774639438966767,5.329921040391167,5.329845618147804,0.9999858492756661
4,0,0.6288207202150918,4.1093822961581985,4.109172154122488,0.9999488628653735
4,2,0.6048671907885687,3.6250811575656647,3.6250278555783035,0.9999852963326766
4,3,0.6349080329153227,4.243321197325586,4.243412326071132,1.0000214758066401
