phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-11.75,2.818302238550106e+18,4.805603752056779e+16,4.80467517123691e+16,1.9390260960615628e+16,1.938982415851766e+16,1.2478284911282106e+16,1.2477986082604456e+16,7301729136558581.0,7301526856702040.0,3984910509473810.5,3984780711073900.5,2062649404206910.8,2062579038967060.5,1066261894927482.9,1066227353261206.4,566551467029290.4,566532997281460.4,256015057700086.12,256001295924163.3,11815316869.120739
-11.25,3.760607061128397e+18,5.530455606817808e+16,5.529222527226562e+16,1.9884395034949464e+16,1.9883963303859144e+16,1.3361255473579578e+16,1.3360972487153834e+16,8284150942355417.0,8283944921458257.0,4817539655417638.0,4817403879679178.0,2751488459453498.5,2751404239283262.0,1342304846825315.8,1342250008191455.5,581456445574894.9,581432428136417.1,248682583012191.9,248668887006923.5,11437827476.225933
-10.75,8.414646938204605e+18,2.0613272917447427e+17,2.0609129475860797e+17,2.8100347750894056e+16,2.8098068926895372e+16,1.3367434202120686e+16,1.3367106174188176e+16,8829068109378354.0,8828881244989736.0,5559367000123540.0,5559231519140334.0,3394006123190151.0,3393916285602659.0,1899082269709020.5,1899021103820834.0,902183576469885.6,902143440814763.9,278020930527115.72,277998903903578.88,10549906835.984602
-10.25,1.1237260542867542e+19,2.987162508223935e+17,2.9865706978803706e+17,3.3289573854672652e+16,3.3286158833452188e+16,1.3497029490797862e+16,1.3496673050402676e+16,9269592362110472.0,9269416397618104.0,6118956925887502.0,6118822655150293.0,3921293884697381.0,3921201664023064.0,2383002551968743.5,2382938562678743.5,1293133857222838.0,1293087340901953.5,498979404973970.94,498946873452501.6,18943176915.611748
-9.75,1.2231210079369724e+19,4.8972036706212646e+17,4.896480053703917e+17,8.275054277246838e+16,8.274283029379402e+16,1.973758436168656e+16,1.9736301857826908e+16,9556346587113356.0,9556102057842374.0,6341234047381744.0,6341111446945784.0,4331558299667162.0,4331470834507335.5,2766441745926416.5,2766372982786472.0,1585196167576179.0,1585146342035931.2,706103652875609.0,706063596581492.2,29229003383.660233
-9.25,1.2922253898960097e+19,6.327125628274784e+17,6.326317381085722e+17,1.2915493698181158e+17,1.2914408812020181e+17,3.0464207341973784e+16,3.0461988513541736e+16,1.1164497319981074e+16,1.1164056037130094e+16,6416454964360455.0,6416310999469962.0,4311582453434868.0,4311497008108865.0,2839882680821338.5,2839817997267800.5,1687101527313255.0,1687050309736055.5,751170086362690.6,751127466710391.5,34236817466.49935
-8.75,1.3245529104320592e+19,6.794875472830618e+17,6.794057856333855e+17,1.7183749616174854e+17,1.718263246778123e+17,5.614106804411201e+16,5.613780827502664e+16,1.7403638880371252e+16,1.7402596359058044e+16,6808380522098465.0,6808141263168184.0,4236172767669987.0,4236085487203951.0,2815989994470842.5,2815927511101770.5,1704345855905272.0,1704296317203298.5,783728475261209.5,783685333917646.8,36029808641.051285
-8.25,1.3652522220519188e+19,7.276167204500174e+17,7.275315023910237e+17,1.9918422701685312e+17,1.991726556352633e+17,7.666916104311594e+16,7.66655466212274e+16,3.0490664411124196e+16,3.0489210796017676e+16,1.174624691377011e+16,1.1745657341245976e+16,4827599127602308.0,4827405139277888.0,2747846938208662.0,2747776779559240.0,1649567598899470.8,1649520320295567.0,772289863950891.5,772248225669327.0,36346281746.928314
-7.75,1.3842953827568228e+19,7.544820226350186e+17,7.543949603447108e+17,2.1415144164170557e+17,2.141396644613894e+17,9.034517502113099e+16,9.034153105762166e+16,4.309970667215633e+16,4.3098089941732296e+16,1.9666898776869496e+16,1.9666054416733492e+16,8275047451972421.0,8274674256039414.0,3509519298327504.0,3509370694337551.5,1654739963197095.8,1654681711060724.0,734193148911677.1,734152467148123.8,34570205949.86777
-7.25,1.2942716147855399e+19,7.681597075823483e+17,7.680768799361906e+17,2.3221386745726374e+17,2.3220161449269325e+17,1.0096023672336488e+17,1.0095639495107854e+17,5.2155275502611144e+16,5.2153636176309704e+16,2.848434901669327e+16,2.848347119451887e+16,1.494964637944451e+16,1.4949116604382022e+16,6637085566466914.0,6636791605995663.0,2581970022970269.5,2581837577411700.0,835268212011878.2,835208662246491.6,35342980189.01932
-6.75,1.2880757921845402e+19,7.516546408347654e+17,7.515733799084017e+17,2.3552083423569754e+17,2.3550919952041293e+17,1.0885988860878672e+17,1.0885605559934589e+17,5.8307067048794536e+16,5.830534982176506e+16,3.370283112800219e+16,3.3701934470215296e+16,2.0045210384743536e+16,2.0044674086902164e+16,1.1317854363215428e+16,1.1317499094967828e+16,5419587712026843.0,5419350158398453.0,1879357583194854.2,1879226226814141.8,65952162340.760506
-6.25,1.285505707672931e+19,7.437630346762362e+17,7.436821199679569e+17,2.334762870130812e+17,2.3346487784405914e+17,1.1020951817539637e+17,1.1020580627571294e+17,6.122544276832832e+16,6.122374601044408e+16,3.625502140161183e+16,3.625408822871471e+16,2.201739624328757e+16,2.201684298149341e+16,1.3156678233112804e+16,1.3156320443534756e+16,7188549173493687.0,7188300378924999.0,3028361367561995.5,3028182383345381.0,123798383325.27888
-5.75,1.3432908221642285e+19,7.37174564451381e+17,7.37094580231586e+17,2.31002298039305e+17,2.309909153330975e+17,1.0876608348811618e+17,1.0876243425570571e+17,6.106094570949729e+16,6.105930195408965e+16,3.6900452403532536e+16,3.689954483420499e+16,2.2736913066485236e+16,2.2736347670220092e+16,1.3465221289825144e+16,1.3464847559398152e+16,7310772482906201.0,7310520155663505.0,3123738996388953.5,3123558406286432.5,136573073437.83801
-5.25,1.853593654117155e+19,7.809015001057975e+17,7.808038218276988e+17,2.2842782366194128e+17,2.2841634717030416e+17,1.078263766483619e+17,1.0782274818799336e+17,6.021892851494488e+16,6.021729589669762e+16,3.6401069416135304e+16,3.640018259060457e+16,2.2701114549847004e+16,2.270057187663405e+16,1.380731479611115e+16,1.380694786006881e+16,7577587086758179.0,7577324518253135.0,3202420600118736.5,3202233276630897.0,138715556453.89615
-4.75,3.3840196038306783e+19,1.1345090173111255e+18,1.1343276692792571e+18,2.4914175094377392e+17,2.4912634598490272e+17,1.0750947386358678e+17,1.075055752362856e+17,5.9680108903977496e+16,5.9678491075561464e+16,3.5943849942982868e+16,3.5942963769053776e+16,2.227717555183818e+16,2.2276635736216836e+16,1.3477462132071046e+16,1.3477103608035276e+16,7469852338754484.0,7469601068365082.0,3232459639671550.0,3232274546203844.0,142053716295.96832
-4.25,3.7749821236563304e+19,1.6992750214397919e+18,1.6990488805455506e+18,3.822326687435143e+17,3.822059143007117e+17,1.3276853783009208e+17,1.3276217072489962e+17,6.225816044412436e+16,6.225606386827971e+16,3.565601324926473e+16,3.5655118473521656e+16,2.2128582648976856e+16,2.2128044715154188e+16,1.3331584583825316e+16,1.3331226215749152e+16,7330272009874277.0,7330021600123093.0,3139469220862277.5,3139287861458490.5,137296066314.07039
-3.75,3.797304683764879e+19,1.8473454503973763e+18,1.8471170389243113e+18,4.890985931661241e+17,4.8906995382247494e+17,1.9611011810626173e+17,1.9610165222243584e+17,9.06667828447558e+16,9.06633591025783e+16,4.510981897436236e+16,4.510826092023464e+16,2.3971451682761184e+16,2.3970726846027536e+16,1.3549676186184506e+16,1.354928242027695e+16,7323674147322642.0,7323423318845495.0,3139791280548066.0,3139609999859481.5,137288644188.04729
-3.25,3.8027789308558344e+19,1.8754109792740541e+18,1.875182399131056e+18,5.1616112773998426e+17,5.161324672476769e+17,2.2236312702043466e+17,2.223545833040131e+17,1.1460789177979016e+17,1.146042627439976e+17,6.3715507539415736e+16,6.3713651128803976e+16,3.586801787315854e+16,3.586695463635912e+16,1.9397496099411812e+16,1.939686190831368e+16,9600039465625670.0,9599658161719758.0,3708724118438269.0,3708491570758365.0,151728207336.49515
-2.75,3.809511685332599e+19,1.8815571371925652e+18,1.8813283443739318e+18,5.213154934508691e+17,5.2128681422609075e+17,2.2733021061243702e+17,2.2732166148080902e+17,1.1950667759463338e+17,1.195030462586734e+17,6.858203657610622e+16,6.858017898885819e+16,4.063376992805748e+16,4.063269468112717e+16,2.371671388838098e+16,2.37160364947085e+16,1.275095917405277e+16,1.2750509196469112e+16,5284986925758804.0,5284672654948152.0,222567412236.65094
-2.25,3.869599172349507e+19,1.8971057389381757e+18,1.8968737465077745e+18,5.2266365693464634e+17,5.226347783704602e+17,2.2742708695566208e+17,2.2741851876094976e+17,1.195342051661572e+17,1.195305736369701e+17,6.861495626698952e+16,6.861309897454435e+16,4.067115894985371e+16,4.067008387487098e+16,2.3756808192782696e+16,2.3756130907435296e+16,1.27928070616675e+16,1.2792357156041782e+16,5321868380078460.0,5321553279424927.0,226667487089.3828
-1.75,3.82123663111171e+19,1.8952830799087263e+18,1.8950531900487132e+18,5.2594646488674784e+17,5.2591754607606816e+17,2.292058777632193e+17,2.2919724383978634e+17,1.2028767471553285e+17,1.2028400853454454e+17,6.891840680444731e+16,6.891653462847704e+16,4.077457360065922e+16,4.07734917939077e+16,2.3772609066642844e+16,2.37719294063746e+16,1.2788994743941804e+16,1.278854465793754e+16,5319110127819839.0,5318795151203953.0,226543865084.6146
-1.25,3.8149318731990155e+19,1.884924991175535e+18,1.8846957604206152e+18,5.2212532578053786e+17,5.2209659667955584e+17,2.2768116887546416e+17,2.2767260786843085e+17,1.197254091191006e+17,1.1972177386229253e+17,6.875268328549808e+16,6.875082417821446e+16,4.0783179273461736e+16,4.078210313934466e+16,2.3846694034028624e+16,2.3846015181610116e+16,1.2845206214268466e+16,1.2844754396876372e+16,5342142390104346.0,5341825997141725.0,227453596464.69305
-0.75,3.813772492758583e+19,1.8842629682179008e+18,1.884033806563833e+18,5.218741142707441e+17,5.2184539383005446e+17,2.2751871658206694e+17,2.2751015815572086e+17,1.1959549973211469e+17,1.1959186557114275e+17,6.863813945797901e+16,6.863628091111715e+16,4.067864730751232e+16,4.067757174390985e+16,2.375829495925982e+16,2.3757617496024016e+16,1.279236178684331e+16,1.2791911838115718e+16,5321262649584236.0,5320947564119263.0,226627922150.4293
-0.25,3.813772492758583e+19,1.8842629682179008e+18,1.884033806563833e+18,5.218741142707441e+17,5.2184539383005446e+17,2.2751871658206694e+17,2.2751015815572086e+17,1.1959549973211469e+17,1.1959186557114275e+17,6.863813945797901e+16,6.863628091111715e+16,4.067864730751232e+16,4.067757174390985e+16,2.375829495925982e+16,2.3757617496024016e+16,1.279236178684331e+16,1.2791911838115718e+16,5321262649584236.0,5320947564119263.0,226627922150.4293
0.25,3.813476674663951e+19,1.88273585497249e+18,1.8825067023643402e+18,5.204007799082202e+17,5.2037206060124e+17,2.260570015926858e+17,2.2604844350417472e+17,1.1813804489945962e+17,1.1813441107348634e+17,6.719464481060609e+16,6.719278790800805e+16,3.9326052486615896e+16,3.932498394051263e+16,2.260101880621942e+16,2.2600356485009124e+16,1.2006533591127014e+16,1.200610365533009e+16,4942383865430973.0,4942088868435029.0,209023978109.9605
0.75,1.921035896907515e+19,8.26483130188677e+17,8.263735760824873e+17,2.0744004384396378e+17,2.0742760953071e+17,8.585575670819109e+16,8.585237940961694e+16,4.506583333234016e+16,4.5064494100996056e+16,2.65931209547774e+16,2.6592452001997576e+16,1.6426812983955888e+16,1.6426420712311556e+16,1.0159638958998348e+16,1.0159379654599358e+16,5790171345835940.0,5789983367804476.0,2520028667475561.5,2519886186706808.0,111593346080.63295
1.25,6.45741237032891e+18,4.1547484811625555e+17,4.154329649434127e+17,1.3801752118747829e+17,1.380111439728035e+17,6.835848556951131e+16,6.8356362293640504e+16,4.046840985891466e+16,4.0467411965710584e+16,2.5584103146790184e+16,2.5583525753287336e+16,1.6310075701377884e+16,1.6309701988954044e+16,1.0148348174208396e+16,1.014809052636398e+16,5788315442266523.0,5788127574128238.0,2519377436944907.0,2519234996725970.5,111564401975.0689
1.75,6.458015710417092e+18,4.1551366749310246e+17,4.154717804069589e+17,1.3803041669354918e+17,1.3802403888302749e+17,6.8364872572607256e+16,6.836274909835088e+16,4.0472190988427576e+16,4.047119300198663e+16,2.558649358012626e+16,2.5585916132675388e+16,1.6311599627810976e+16,1.6311225880469792e+16,1.0149296387504122e+16,1.0149038715586708e+16,5788856281475670.0,5788668395784166.0,2519612847108937.0,2519470393581281.0,111590178600.19499
2.25,6.462995558032288e+18,4.1598027648987405e+17,4.1593835811761536e+17,1.3828976914086856e+17,1.3828338656666114e+17,6.8572190743087864e+16,6.857006568277559e+16,4.065867568184805e+16,4.065767685383843e+16,2.5756246049252176e+16,2.5755667692654304e+16,1.6456974663848446e+16,1.6456599372020778e+16,1.025796542640981e+16,1.0257705625680002e+16,5852376906166815.0,5852186800518156.0,2544960489252232.0,2544816480927932.5,112593762588.84604
2.75,6.469392702535627e+18,4.179260797722444e+17,4.1788410997377043e+17,1.3951708501503022e+17,1.3951067264104347e+17,6.926436631372512e+16,6.926221739761201e+16,4.094401907965708e+16,4.094300390977179e+16,2.5793664997289584e+16,2.579307744730345e+16,1.6374731291638452e+16,1.6374352827071588e+16,1.0154749449493454e+16,1.0154490298075316e+16,5783578737938012.0,5783390871615494.0,2517290122339760.5,2517147811020590.0,111482226909.51207
3.25,6.587632693546637e+18,4.239457022848433e+17,4.239028286326034e+17,1.396870073054714e+17,1.3968047920818411e+17,6.861855546186762e+16,6.8616400885654e+16,4.047774702960014e+16,4.047674433637646e+16,2.5565353309514388e+16,2.5564776020782376e+16,1.6300182769148508e+16,1.6299809429642208e+16,1.0143980030685264e+16,1.014372257888801e+16,5786669751594053.0,5786481976373851.0,2518965565539851.5,2518823163302422.0,111557090667.22963
3.75,6.570415124804596e+18,4.1671398155623955e+17,4.166716040441873e+17,1.3749667860423867e+17,1.3749029011967893e+17,6.791730310911942e+16,6.791518381207346e+16,4.008201685336622e+16,4.008102084893673e+16,2.5223429707443764e+16,2.5222853205284316e+16,1.5962027063020284e+16,1.59616537979023e+16,9806713300446640.0,9806456073584760.0,5461827185377133.0,5461640583198054.0,2267243750091404.5,2267108730640570.0,90253703838.66628
4.25,6.436586474412955e+18,4.086964165568488e+17,4.086546725097581e+17,1.3212273963856496e+17,1.3211638147130376e+17,6.265957344459441e+16,6.265745575759929e+16,3.483801379799101e+16,3.483701819475737e+16,1.9985104618393468e+16,1.9984528330214696e+16,1.0828694765483358e+16,1.0828336373038002e+16,5205695106597822.0,5205485483512614.0,2183273837141303.2,2183165574474135.8,684073957055709.1,684023955298372.4,27694019003.93361
4.75,6.408859167811507e+18,3.9459775315031546e+17,3.945560486464434e+17,1.1823837379480174e+17,1.1823201975263728e+17,4.905131191932628e+16,4.9049224021704856e+16,2.205875180373775e+16,2.205782894156285e+16,9464803324515810.0,9464373217170198.0,3968398676970181.0,3968232244753541.0,2031164539752454.2,2031101265738288.2,1141197376349874.8,1141161740164937.2,508373288857228.4,508345425290527.9,23867944595.07178
5.25,6.369732151890029e+18,3.537101184166466e+17,3.536687475149631e+17,8.589630146363251e+16,8.589036529505854e+16,2.5734293514409292e+16,2.5732693218041812e+16,8439681956433056.0,8439227905348044.0,4079512578445085.5,4079409982777580.5,2743808602737008.0,2743750326067137.5,1846818985811107.5,1846779422034654.0,1145100375450445.5,1145066094767049.2,511281071908621.5,511253083902453.0,24149945573.99801
5.75,5.704444780103158e+18,2.3787711076106403e+17,2.3784244630613517e+17,3.880417808884946e+16,3.880047418242745e+16,9366626418998966.0,9366057258776662.0,5269192357871544.0,5269097844013962.0,3943650629940684.0,3943588496101089.0,2782517687907543.0,2782461610282628.0,1883611790936441.2,1883572030119545.2,1179211951877612.5,1179177379477980.5,533211997543581.75,533183071436878.0,25051037508.96349
6.25,3.5931062516574285e+18,8.720266359902282e+16,8.718588144324893e+16,1.4848851587363556e+16,1.4847886687311662e+16,8294167550296151.0,8293984171355664.0,5508883253157970.0,5508783928042359.0,4033015815922337.5,4032950490550977.0,2836966012024784.0,2836908969589473.5,1918834776012967.2,1918793762887294.5,1184639673760248.5,1184603432901691.8,516750972735529.25,516722026543118.2,23902304661.97174
6.75,5.385771720820668e+17,2.432221527557868e+16,2.432063455114315e+16,1.4026071872324526e+16,1.4025744185817462e+16,8753485855498637.0,8753282278963073.0,5571363848633818.0,5571255995396107.0,4049574364617040.5,4049507891166927.5,2820726592181057.5,2820667541955166.5,1871267602984438.8,1871225690334193.2,1140254356176591.5,1140219469782002.0,505709668091033.3,505681862637802.0,23591310287.03222
