two_theta_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
0.10703393881880438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17838989803134064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24974585724387688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3211018164564131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39245777566894935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46381373488148564,6290563447968.871,6290563447968.871,6290563447968.871,6290563447968.871,6290563447968.871,6290563447968.871,6290171938855.174,151510333600.26443,151398506771.423,28258631437.001568,28255033608.76318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5351696940940218,5450328463667955.0,474957839830277.6,474935388497090.75,336607005821692.56,336604117060534.94,308657444394493.8,308651495659738.8,168034330917843.44,168027488508916.7,54679599166715.63,54675708050519.69,7696761823096.831,7696047445052.252,91488922.30111341,0.0,0.0,0.0,0.0,0.0,0.0
0.6065256533065582,3.540634083418505e+17,7352802211162635.0,7352070677639790.0,2266572730467397.5,2266449638544123.0,757613179224513.9,757572265603690.6,266410023619168.72,266394492532570.16,83103984032496.12,83098551891313.5,18537818036348.336,18535861687420.516,283678142.23170006,0.0,0.0,0.0,0.0,0.0,0.0
0.6778816125190943,2.8083867678007157e+19,1.5577124409104627e+17,1.557066483082686e+17,8978038516509186.0,8977173901825862.0,2519055831083675.0,2518889925394724.5,692708115193369.5,692659167456135.9,162085757345557.6,162071465991685.5,23128344528028.258,23125204472020.445,70420637269.14908,70189748955.19806,768957.6275449842,0.0,0.0,0.0,0.0
0.7492375717316306,9.007880400394148e+19,1.9741737981745452e+18,1.9736900516126584e+18,7.943814697981437e+16,7.941936645787829e+16,5185713571543801.0,5184833993155929.0,1233777604843818.2,1233685654261729.2,277907768943497.7,277882778268774.2,42000640521131.69,41995705596260.67,2887384862436.7695,2886800065029.443,21892281.188791107,0.0,0.0,0.0,0.0
0.8205935309441669,3.0722113572013416e+19,2.939041583317233e+18,2.938757286477716e+18,5.818960389289449e+17,5.818368678228718e+17,6.10597288993707e+16,6.10499037491319e+16,4676578127122006.0,4675830250256355.0,546462056082938.1,546409452661506.7,88224933999404.38,88214632469447.84,6647820771561.783,6646440917393.179,9893718.993115708,0.0,0.0,0.0,0.0
0.8919494901567031,4.4020953805807974e+18,1.2992780802771397e+18,1.299219555620205e+18,6.035833999034578e+17,6.035597360725097e+17,2.4529369184511386e+17,2.4528023989578602e+17,5.2966589741621096e+16,5.2961253358043336e+16,4869567313828290.0,4868794494599089.0,355437246466032.2,355375068476238.56,48345561143135.28,48339454749302.91,3080569312719.0215,3079965531246.325,40861822.000998184,24674453.712808587,0.0
0.9633054493692395,3.4592591967783686e+17,3.4592591967783686e+17,3.4592417191353594e+17,2.97252139853501e+17,2.97249225153889e+17,2.0948908831136045e+17,2.0948417539232605e+17,1.1389424276317862e+17,1.1388990960599418e+17,4.04728690261017e+16,4.0470001736435e+16,6014592326235587.0,6013759785001517.0,482184337333862.1,482100441273422.06,36439136022290.44,36434605334487.34,3223584132527.0317,3223006741081.99,33101861.43136556
1.0346614085817756,1.1112752827136494e+17,1.1112752827136494e+17,1.1112752827136494e+17,1.1112752827136494e+17,1.1112752827136494e+17,1.0842423445615019e+17,1.0842388090558213e+17,9.580509597743253e+16,9.580386112592696e+16,6.340916769368396e+16,6.340740910007014e+16,3.036065020619755e+16,3.035922120608164e+16,7708931929015997.0,7708230326821241.0,761282176373758.2,761165736567167.5,40331324407947.97,40322015251121.305,729997697.2484404
1.106017367794312,5.12588425767517e+16,5.12588425767517e+16,5.12588425767517e+16,5.12588425767517e+16,5.12588425767517e+16,5.12588425767517e+16,5.12588425767517e+16,5.12588425767517e+16,5.125880424627714e+16,4.885398879627742e+16,4.885373838638333e+16,3.808507645655176e+16,3.808432756109985e+16,2.1095062843179308e+16,2.1094271685188516e+16,7617763782201854.0,7617239229840465.0,1078927809837948.4,1078765810874299.5,16056710318.932863
1.177373327006848,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.5378160603962148e+16,2.502672554670518e+16,2.5026667849880764e+16,2.2384503166910324e+16,2.2384212176699316e+16,1.4044006890881806e+16,1.4043529509628478e+16,5366978665362383.0,5366620564150139.0,164499786309.40213
1.2487292862193844,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.013992734278278e+16,1.0139925845846314e+16,1.0139916341487904e+16,9483071000933990.0,9482990377101236.0,5924494767839436.0,5924235174651766.0,261541076967.75568
1.3200852454319207,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1208322200508504.5,1086099787712840.0,1086078629805488.5,120089229624.00685
1.3914412046444569,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,10991326396.051296,4114950255.6335454
