two_theta_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
0.39245777566894935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46381373488148564,-0.435200083213795,-0.435200083213795,-0.435200083213795,-0.435200083213795,-0.435200083213795,-0.4340563909712155,-0.4340509012420868,-0.17635172993137832,-0.17633491003536764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5351696940940218,505561840.6898945,505561840.6898945,505561840.6898945,505561840.6898945,505561840.70627445,504868172.24552935,504864836.97694826,348298121.27612525,348285470.65206015,91370790.74399886,91362892.65604216,3935404.633938423,3933680.487373861,149317.48134700788,149216.86137827183,0.9237718884729014,0.0,0.0,0.0,0.0
0.6065256533065582,729508041156.2786,729508041156.2786,729508041156.2786,729508041156.2786,729507181163.6708,666573435360.082,666568291380.5892,496720447041.7137,496709034408.971,234110144263.8908,234097662650.21024,43633939202.76434,43628885224.20242,3707997023.4459248,3707411230.1951337,60934024.57910765,60901862.32152278,111.08901507113383,0.0,0.0
0.6778816125190943,1822388987067.7349,1822388987067.7349,1822388987067.7349,1822388987067.7349,1822388987067.731,1822388986763.8772,1822388986763.8523,1764736424517.2969,1764728113082.2566,1356225860658.1714,1356192299902.6208,585457561883.4995,585427198795.2245,169563846881.21198,169550942314.67313,27583558425.602768,27580422198.09211,952258984.9506433,951861763.7841693,721.6387609877535
0.7492375717316306,2462173759519.0913,2462173759519.0913,2462173759519.0913,2462173759519.0913,2462173759519.0913,2462173759519.0913,2462173759519.0913,2448721738643.7217,2448719208264.047,2261814225205.736,2261795835816.0415,1744333859149.8684,1744299817782.9653,958870615604.4016,958833521461.4177,360789406951.6457,360766996809.91,70435860184.43494,70428089323.08722,1394482.2000394547
0.8205935309441669,1275404979893.76,1275404979893.76,1275404979893.76,1275404979893.76,1275404979893.76,1275404979893.76,1275404979893.76,1275404979893.76,1275404948999.4285,1271105441436.4614,1271104867472.0596,1245151333178.7356,1245147852586.65,1120622465013.8018,1120611614111.0925,801615747575.695,801596087385.6484,371403777921.5229,371381885093.90314,12609369.700345302
0.8919494901567031,306465575231.77826,306465575231.77826,306465575231.77826,306465575231.77826,306465575231.77826,306465575231.77826,306465575231.77826,306465575231.77826,306465575231.77826,306465575231.77826,306465574960.9162,306416768189.70703,306416757172.15405,304968157953.66956,304967749756.4884,283369007867.59406,283366868985.3188,200882067291.7829,200875556497.77316,13916587.649115771
0.9633054493692395,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13817231411.596325,13789995034.093235,13789981943.719936,12542748075.54844,12542556513.744167,1562651.2389747335
1.0346614085817756,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588249.447940391,588234.1207114921,5662.940572341681
1.106017367794312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.177373327006848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2487292862193844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3200852454319207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
