Qz_A_inv,L_rlu,F_real,F_imag,F_abs,F2
0.0,0.0,774.3769327201966,-66.42985175355274,777.2210490800792,604072.5591331389
0.001,0.004557560950379515,775.2117589620108,-55.809447930244865,777.2180940452,604067.9657112533
0.002,0.00911512190075903,775.8475734022107,-45.17551974786715,777.1616850685504,603980.2847385886
0.003,0.013672682851138545,776.2841394765751,-34.532260541693496,777.0518272425631,603809.5422210062
0.004,0.01823024380151806,776.5213148995491,-23.883867833749946,776.8885323107972,603555.7916360246
0.005,0.022787804751897574,776.5590517352508,-13.234541124117644,776.671818666493,603219.1139107178
0.006,0.02734536570227709,776.3973964152497,-2.588479681185703,776.4017113501478,602799.6173874383
0.007000000000000001,0.03190292665265661,776.0364897031059,8.050119667836636,776.078242046113,602297.4377773852
0.008,0.03646048760303612,775.4765666056952,18.677064744839633,775.7014490782134,601712.73810204
0.009000000000000001,0.041018048553415634,774.7179562313755,29.288170225855808,775.2713774043888,601045.7086224982
0.01,0.04557560950379515,773.7610815950814,39.87925984191976,774.7880786103575,600296.5667567295
0.011000000000000001,0.05013317045417467,772.6064593704718,50.44616857444129,774.251610902307,599465.5569848174
0.012,0.05469073140455418,771.2546995892812,60.98474484379112,773.6620390986072,598552.9507422149
0.013,0.059248292354933695,769.7065052880612,71.49085268980406,773.0194346205503,597559.0463010753
0.014000000000000002,0.06380585330531321,767.9626721025322,81.96037394290812,772.3238754821209,596484.1686397226
0.015000000000000001,0.06836341425569273,766.0240878097966,92.38921038459496,771.575446278794,595328.6693003201
0.016,0.07292097520607224,763.8917318186911,102.77328589595325,770.7742381753625,594092.9262348104
0.017,0.07747853615645175,761.5666746086005,113.10854859299478,769.9203488928032,592777.3436392158
0.018000000000000002,0.08203609710683127,759.0500771170715,123.39097294751073,769.0138826941719,591382.3517763655
0.019,0.08659365805721078,756.34319007661,133.61656189220503,768.0549503695399,589908.4067871565
0.02,0.0911512190075903,753.4473533010654,143.78134890886167,767.0436692199684,588355.9904904322
0.021,0.09570877995796982,750.3639949220458,153.88140009831343,765.980163040525,586725.6101715892
