L_rlu,Qz_A_inv,F_real,F_imag,F_abs,F2,R_HT_no_fault_N50,I_HT_no_fault_N50
0.0,0.0,774.3769327201966,-66.42985175355274,777.2210490800792,604072.5591331389,50.0,1.9895296512339507e+18
0.001,0.0002194156064806393,774.5771338885668,-64.10094051212813,777.2249783155236,604078.6669175661,49.589459441230126,1.9732139499264904e+18
0.002,0.0004388312129612786,774.7677656718017,-61.77122075732734,777.2263341124813,604080.7744379264,48.376412637029205,1.9249523259682176e+18
0.003,0.0006582468194419179,774.9488244063828,-59.44073670627415,777.2251164424753,604078.8816290193,46.407410591068285,1.8465977152807158e+18
0.004,0.0008776624259225572,775.1203066468233,-57.1095325937779,777.2213252924454,604072.9884893452,43.758665641040295,1.741184493405175e+18
0.005,0.0010970780324031965,775.2822091657587,-54.77765267121293,777.2149606647489,604063.0950811072,40.53125342790916,1.612737342652107e+18
0.006,0.0013164936388838358,775.4345289540273,-52.44514120539781,777.2060225771596,604049.2015302083,36.84590261546913,1.4660636252964708e+18
0.007,0.001535909245364475,775.5772632207498,-50.112042477474006,777.1945110628693,604031.3080262524,32.83685279261743,1.3065086202961208e+18
0.008,0.0017553248518451144,775.7104093933981,-47.77840078178415,777.1804261704858,604009.4148225379,28.645146633316596,1.1396882266105444e+18
0.009000000000000001,0.0019747404583257537,775.8339651178624,-45.44426042475005,777.1637679640354,603983.5222360571,24.41175100949051,9.712148767261996e+17
0.01,0.002194156064806393,775.9479282585087,-43.10966572375024,777.1445365229592,603953.6306474851,20.2709047085581,8.064325195635567e+17
0.011,0.0024135716712870322,776.0522968982334,-40.774661005997274,777.122731942116,603919.740501178,16.34406785300837,6.501756288718501e+17
0.012,0.0026329872777676715,776.1470693385102,-38.439290607414854,777.0983543317793,603881.8523051597,12.734801963042944,5.065653480367187e+17
0.013000000000000001,0.002852402884248311,776.2322440994315,-36.10359887151458,777.0714038176379,603839.9666311145,9.524843352862002,3.7885323538549376e+17
0.014,0.00307181849072895,776.3078199197436,-33.76763014827251,777.0418805407953,603794.0841143756,6.771551043351305,2.6931981909754928e+17
0.015,0.0032912340972095894,776.3737957568769,-31.43142879300572,777.0097846577678,603744.2054539106,4.506819410592039,1.79231539734944e+17
0.016,0.0035106497036902287,776.4301707869687,-29.095039165248455,776.975116340484,603690.3314123086,2.737451709191514,1.0885590455505613e+17
0.017,0.003730065310170868,776.4769444048821,-26.75850562762843,776.9378757762851,603632.4628157662,1.4468998259667956,5.7531057382887464e+16
0.018000000000000002,0.003949480916651507,776.5141162242162,-24.421872544742904,776.8980631679211,603570.6005540672,0.5981941642084462,2.378272167316852e+16
0.019,0.004168896523132146,776.541686077313,-22.085184282034724,776.8556787335519,603504.7455805676,0.13782065775103092,5478810908228849.0
0.02,0.004388312129612786,776.5596540152566,-19.748485204668427,776.8107227067441,603434.898912174,0.00025363351218629757,10081574484586.494
0.021,0.004607727736093426,776.5680203078675,-17.41181967640631,776.7631953364707,603361.0616293242,0.11282622457292632,4484134587899306.0
0.022,0.0048271433425740645,776.5667854436906,-15.07523205848456,776.7130968871094,603283.2348759641,0.4006153517719906,1.5919893137808454e+16
0.023,0.005046558949054703,776.5559501299765,-12.73876670848947,776.6604276384397,603201.4198595241,0.7910354005505735,3.143037616189676e+16
0.024,0.005265974555535343,776.5355152926588,-10.402467979233792,776.6051878856426,603115.6178508943,1.2178715596838128,4.8383063966542696e+16
0.025,0.005485390162015983,776.5054820763232,-8.066380217633219,776.5473779392978,603025.8301843986,1.6245369717309086,6.452927992336859e+16
0.026000000000000002,0.005704805768496622,776.4658518441719,-5.73054776358307,776.4869981253815,602932.0582577663,1.966402946198449,7.809661250273432e+16
0.027,0.0059242213749772605,776.4166261779825,-3.3950149488351684,776.4240487852652,602834.3035321039,2.2121233998463334,8.784127100724958e+16
0.028,0.0061436369814579,776.3578068780594,-1.0598260958749286,776.3585302757119,602732.5675318635,2.343948025171204,9.306019105540109e+16
0.029,0.00636305258793854,776.2893959631806,1.2749744832011523,776.2904429688753,602626.8518448125,2.3570881809855875,9.3565472115869e+16
0.03,0.006582468194419179,776.2113956705385,3.6093424878078135,776.2197872522959,602517.1581219995,2.258260386851343,8.962614965021765e+16
0.031,0.006801883800899818,776.123808455674,5.943233629993021,776.1465635288998,602403.4880777205,2.063580662738466,8.188422283513133e+16
0.032,0.0070212994073804574,776.0266369924052,8.276603635559443,776.0707722169946,602285.8434894823,1.7960159596565564,7.125316350312985e+16
0.033,0.007240715013861097,775.9198841727499,10.609408245185676,775.9924137502677,602164.2261979666,1.4826150113977088,5.880776145879369e+16
0.034,0.007460130620341736,775.8035531068431,12.94160321554693,775.911488577783,602038.6381069911,1.1517398638753276,4.567410726839111e+16
0.035,0.007679546226822376,775.6776471228463,15.273144320435275,775.827997163977,601909.0811834679,0.830502156610354,3.292781888337189e+16
0.036000000000000004,0.007898961833303015,775.5421697668544,17.603987351879482,775.7419399886571,601775.5574573653,0.542577142710262,2.150737176097953e+16
0.037,0.008118377439783653,775.3971248027927,19.934088121264043,775.653317546998,601638.0690216641,0.30652657494876623,1.2147719223219612e+16
0.038,0.008337793046264292,775.2425162123117,22.263402460448056,775.562130349537,601496.6180323123,0.13471274427653043,5337442104449585.0
0.039,0.008557208652744933,775.0783481946728,24.59188622288309,775.4683789221722,601351.2067081816,0.03283425321594336,1300608637686312.2
0.04,0.008776624259225572,774.9046251666306,26.91949528473069,775.372063806158,601201.8373310209,6.365936460397847e-05,2521006136031.702
0.041,0.00899603986570621,774.7213517623079,29.246185545979174,775.2731855581021,601048.5122454074,0.029721733715932855,1176724970559576.8
0.042,0.009215455472186851,774.5285328330651,31.571912931559616,775.1717447499608,600891.2338586984,0.11038594575340482,4369190244231054.0
0.043000000000000003,0.00943487107866749,774.3261734473633,33.89663339246121,775.0677419690353,600730.0046409791,0.22730429370968522,8994525714032002.0
0.044,0.009654286685148129,774.1142788906232,36.220302906845895,774.9611778179686,600564.8271250132,0.36397115948988246,1.4398530470851076e+16
0.045,0.009873702291628768,773.8928546650754,38.54287748116216,774.8520529147403,600395.7039061874,0.5037198697581345,1.9921313154577736e+16
0.046,0.010093117898109407,773.6619064896078,40.864313151257946,774.7403678926628,600222.6376424584,0.6311964657922693,2.4955612503184332e+16
0.047,0.010312533504590047,773.4214402996038,43.18456598349283,774.6261234003772,600045.6310542964,0.7335992958481541,2.8995759426978136e+16
0.048,0.010531949111070686,773.1714622467782,45.50359207584929,774.5093201018478,599864.6869246266,0.8015971773131264,3.1673844462100784e+16
0.049,0.010751364717551325,772.9119786990045,47.82134755904291,774.3899586763591,599679.8080987732,0.8298722459963946,3.2780982831863188e+16
0.05,0.010970780324031966,772.6429962401376,50.13778859763191,774.2680398185103,599490.9974843982,0.8172691642673766,3.227298104946787e+16
0.051000000000000004,0.011190195930512604,772.36452166983,52.45287139112547,774.1435642382098,599298.2580514393,0.7665670414524405,3.0261082686097116e+16
0.052000000000000005,0.011409611536993243,772.076562003343,54.76655217509108,774.0165326606719,599101.592832049,0.6839214169246668,2.6989695331126296e+16
0.053,0.011629027143473882,771.7791244713512,57.07878722226098,773.8869458264105,598901.0049205297,0.5780486194078827,2.280398329092147e+16
0.054,0.011848442749954521,771.4722165197418,59.38953284363742,773.7548044912348,598696.497473269,0.4592420280953922,1.8110883946896384e+16
0.055,0.012067858356435162,771.1558458094071,61.69874538959668,773.6201094262432,598488.0737086724,0.33831824662396004,1.3337432235394264e+16
0.056,0.0122872739629158,770.8300202160326,64.00638125099228,773.4828614178186,598275.7369070965,0.22559076821015422,8890250895909994.0
0.057,0.01250668956939644,770.4947478298786,66.31239686025684,773.3430612676243,598059.4904107805,0.12995992737653408,5119707511475705.0
0.058,0.01272610517587708,770.1500369555548,68.6167486925026,773.2007097925948,597839.3376237724,0.058192041529283645,2291603019178775.0
0.059000000000000004,0.012945520782357719,769.7958961117914,70.91939326662094,773.0558078249343,597615.2820118617,0.014439418962586503,568411317320453.8
0.06,0.013164936388838358,769.4323340312026,73.22028714638066,772.9083562121078,597387.3271025026,2.8480146936402666e-05,1120700420652.4368
0.061,0.013384351995318997,769.0593596600443,75.51938694152464,772.7583558168368,597155.476484741,0.01351789577118197,531725902571916.75
0.062,0.013603767601799635,768.6769821579687,77.81664930886552,772.605807517094,596919.733809141,0.0510046324040583,2005473199517830.5
0.063,0.013823183208280276,768.2852108977684,80.11203095337999,772.4507122060951,596680.1027877035,0.10663512497378519,4191149399692275.0
0.064,0.014042598814760915,767.8840554651188,82.40548862930136,772.2930707922942,596436.5871937915,0.17326307987975326,6807091848251096.0
0.065,0.014262014421241554,767.4735256583132,84.69697914121124,772.1328841993768,596189.1908620482,0.24318575476022997,9550223455484176.0
0.066,0.014481430027722194,767.0536314879919,86.98645934512919,771.9701533662541,595937.9176883178,0.3088874784376543,1.2125303740703128e+16
0.067,0.014700845634202833,766.6243831768662,89.27388614960148,771.8048792470559,595682.7716295625,0.3637225852796007,1.4271729738674872e+16
0.068,0.014920261240683472,766.1857911594357,91.55921651678779,771.6370628111239,595423.7567037783,0.402479196666477,1.5785592956989934e+16
0.069,0.015139676847164113,765.7378660817011,93.8424074635468,771.4667050430054,595160.8769899114,0.42177926297630963,1.6535255223061468e+16
0.07,0.015359092453644752,765.2806188008706,96.12341606252,771.2938069424464,594894.1366277718,0.42028749829469775,1.6469388121469956e+16
0.07100000000000001,0.015578508060125392,764.8140603850604,98.40219944321376,771.1183695243842,594623.5398179448,0.3987206009994584,1.561716063044217e+16
0.07200000000000001,0.01579792366660603,764.3382021129896,100.67871479308013,770.9403938189408,594349.0908217035,0.3596667075903682,1.4080988575157944e+16
0.073,0.016017339273086666,763.8530554736706,102.95291935859578,770.7598808714164,594070.79396092,0.3072417291693597,1.2022913058179382e+16
0.074,0.016236754879567307,763.3586321660906,105.22477044633911,770.5768317422796,593788.6536179696,0.2466226680670337,9646198408734070.0
0.075,0.016456170486047948,762.8549440988927,107.49422542406589,770.3912475071642,593502.6742356446,0.18350716089349817,7174092968121096.0
0.076,0.016675586092528585,762.3420033900444,109.76124172178277,770.2031292568565,593212.8603170541,0.12355273114557919,4827854928551868.0
0.077,0.016895001699009225,761.8198223665079,112.02577683281967,770.0124780972931,592919.2164255342,0.07184841437068258,2806105649465024.5
0.078,0.017114417305489866,761.2884135638984,114.28778831489952,769.819295149549,592621.7471845484,0.03246585621258134,1267347607989258.5
0.079,0.017333832911970503,760.7477897261417,116.54723379120685,769.6235815498329,592320.4572775923,0.008127403933429776,317102657148023.4
0.08,0.017553248518451144,760.1979638051209,118.80407095145398,769.4253384494756,592015.35144809,1.6168827879994297e-05,630525725389.6913
0.081,0.017772664124931784,759.6389489603238,121.0582575529458,769.2245670149262,591706.4344993007,0.0077388034210213175,301627830949121.1
0.082,0.01799207973141242,759.0707585584794,123.30975142164213,769.0212684277416,591393.7112942126,0.029437182403085276,1146738107819521.2
0.083,0.018211495337893062,758.4934061731911,125.55851045321832,768.8154438845779,591077.1867554405,0.062031637576243956,2415175797330699.0
0.084,0.018430910944373703,757.9069055845644,127.8044926141241,768.6070945971833,590756.8658651235,0.10156706203902502,3952327934463657.0
0.085,0.01865032655085434,757.3112707788282,130.0476559426399,768.3962217923894,590432.7536648188,0.143625003767595,5585882534208717.0
0.08600000000000001,0.01886974215733498,756.7065159479514,132.28795854993132,768.1828267121022,590104.8552553955,0.1837604249411737,7142865598853351.0
0.08700000000000001,0.01908915776381562,756.092655489253,134.52535862110204,767.9669106132935,589773.1757969264,0.21792135514981936,8465958026190270.0
0.088,0.019308573370296258,755.4697040050075,136.7598144162434,767.7484747679927,589437.720508579,0.2428130843404503,9427603616675446.0
0.089,0.019527988976776895,754.8376763020444,138.99128427148327,767.5275204632771,589098.4946685063,0.25617534824526783,9940690497239582.0
0.09,0.019747404583257536,754.1965873913422,141.21972660003127,767.3040490012638,588755.5036137339,0.25695038852425595,9964960065920074.0
0.091,0.019966820189738176,753.5464524876164,143.44509989322347,767.0780616991001,588408.7527400485,0.24533084683123688,9508731544142286.0
0.092,0.020186235796218813,752.8872870089032,145.66736272156294,766.8495598889538,588058.2475018821,0.22268808988612876,8625983825585208.0
0.093,0.020405651402699454,752.219106576137,147.88647373575986,766.6185449180052,587703.9934121995,0.19139266678528827,7409266901782687.0
0.094,0.020625067009180095,751.541927012722,150.1023916677679,766.3850181484368,587345.9960423798,0.15454816783306682,5979283940436729.0
0.095,0.02084448261566073,750.8557643440988,152.31507533181903,766.1489809574234,586984.2610220984,0.11566696410322436,4472260552093015.0
0.096,0.021063898222141372,750.1606347973061,154.524483625456,765.9104347371245,586618.7940392111,0.07832058543690891,3026378213723136.5
0.097,0.021283313828622013,749.456554800536,156.73057553056202,765.6693808946718,586249.60083963,0.04579856023128002,1768583990406465.5
0.098,0.02150272943510265,748.7435409826842,158.93331011438815,765.4258208521612,585876.6872272048,0.020807418527629126,803000330587297.8
0.099,0.02172214504158329,748.021610172895,161.13264653057854,765.1797560466423,585500.059063599,0.005236569006668788,201959868026741.97
0.1,0.02194156064806393,747.290779400101,163.32854402019308,764.9311879301083,585119.7222681667,1.047201029223288e-05,403613887775.7043
0.101,0.02216097625454457,746.5510658925571,165.5209619127271,764.6801179694862,584735.6828178273,0.00503770731840504,194036679112994.53
0.10200000000000001,0.02238039186102521,745.8024870773692,167.70985962712922,764.4265476466269,584347.9467469407,0.01925805384712163,741267950092428.4
0.10300000000000001,0.02259980746750585,745.0450605800177,169.8951966728162,764.1704784582934,583956.520147177,0.04077946453618424,1568604060233605.5
